Title,Call Number,Description,Language,Creator,Provider,Resource Class,Resource Type,Theme,Temporal Coverage,Date Issued,Index Year,Spatial Coverage,Member Of,Geometry,Bounding Box,Rights,Access Rights,Format,Information,Download,Archive Filename,ID,Identifier,Modified,Metadata Version,Suppressed,Index Map,Alternative Title,Publisher,Subject,Is Part Of,License,Documentation,MapServer,IIIF,Manifest
"Corporate Boundary Milwaukee, Wisconsin 2026",,"This polygon data layer represents the City of Milwaukee corporate boundary as accessed September 18, 2026. The source portal states that the dataset is updated as needed. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/corporate-boundary"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgskkwh8r6,https://geodata.uwm.edu/public/gmgskkwh8r6/Milwaukee_CorporateBoundary_2026.zip,Milwaukee_CorporateBoundary_2026.zip,ark:-77981-gmgskkwh8r6,ark:/77981/gmgskkwh8r6,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Municipal boundaries|City limits,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/reference/reference_map/MapServer/7,,
"Neighborhood Strategic Planning Areas Milwaukee, Wisconsin 2026",,"This polygon data layer represents two City of Milwaukee Neighborhood Strategic Planning areas, also identified by the associated service as Neighborhood Revitalization Strategy Areas, as accessed September 18, 2026. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/neighborhood-strategic-planning-areas-nsp"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Administration,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Economy|Property|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.029972,-87.889669,43.136664,42.991295)","ENVELOPE(-88.029972,-87.889669,43.136664,42.991295)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsfttf0ch,https://geodata.uwm.edu/public/gmgsfttf0ch/Milwaukee_NeighborhoodStrategicPlanningAreas_2026.zip,Milwaukee_NeighborhoodStrategicPlanningAreas_2026.zip,ark:-77981-gmgsfttf0ch,ark:/77981/gmgsfttf0ch,,Aardvark,false,,"Neighborhood Revitalization Strategy Areas Milwaukee, Wisconsin 2026",City of Milwaukee Department of Administration,Neighborhood planning|Community development|Strategic planning areas,,http://www.opendefinition.org/licenses/cc-by,https://city.milwaukee.gov/CommunityDevelopment310.htm,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/planning/special_districts/MapServer/21,,
"Business Improvement Districts Milwaukee, Wisconsin 2026",,"This polygon data layer represents 33 City of Milwaukee business improvement districts as accessed September 18, 2026. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/business-improvement-districts-bid"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of City Development,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Economy,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.037514,-87.873217,43.188668,42.919895)","ENVELOPE(-88.037514,-87.873217,43.188668,42.919895)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsb5mkmxw,https://geodata.uwm.edu/public/gmgsb5mkmxw/Milwaukee_BusinessImprovementDistricts_2026.zip,Milwaukee_BusinessImprovementDistricts_2026.zip,ark:-77981-gmgsb5mkmxw,ark:/77981/gmgsb5mkmxw,,Aardvark,false,,,City of Milwaukee Department of City Development,Business improvement districts|Economic development|Special districts,,http://www.opendefinition.org/licenses/cc-by,https://city.milwaukee.gov/DCD/BusinessToolbox/bids,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/planning/special_districts/MapServer/3,,
"Aldermanic Districts Milwaukee, Wisconsin 2024",,"This polygon data layer represents the 15 City of Milwaukee aldermanic districts for 2024. The source portal states that district boundaries are revised every ten years. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/aldermanic-districts"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Election Commission,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2024,2024,2024,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859574,43.194860,42.919580)","ENVELOPE(-88.077255,-87.859574,43.194860,42.919580)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs6djhbj6,https://geodata.uwm.edu/public/gmgs6djhbj6/Milwaukee_AldermanicDistricts_2024.zip,Milwaukee_AldermanicDistricts_2024.zip,ark:-77981-gmgs6djhbj6,ark:/77981/gmgs6djhbj6,,Aardvark,false,,"Alder Districts Milwaukee, Wisconsin 2024",City of Milwaukee Election Commission,Aldermanic districts|Electoral districts|Local government,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/election/alderman/MapServer/0,,
"Police Stations Milwaukee, Wisconsin 2026",,"This point data layer represents the seven Milwaukee Police Department stations as accessed September 18, 2026. The source portal states that the dataset is updated as needed. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/mpd-stations"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Police Department,American Geographical Society Library – UWM Libraries,Datasets,Point data,Location|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.002437,-87.909682,43.118948,42.989876)","ENVELOPE(-88.002437,-87.909682,43.118948,42.989876)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs2ngf25h,https://geodata.uwm.edu/public/gmgs2ngf25h/Milwaukee_PoliceStations_2026.zip,Milwaukee_PoliceStations_2026.zip,ark:-77981-gmgs2ngf25h,ark:/77981/gmgs2ngf25h,,Aardvark,false,,,City of Milwaukee Police Department,Police stations|Police services|Public safety,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/MPD/MPD_stations/MapServer/0,,
"Police Department Reporting Districts Milwaukee, Wisconsin 2026",,"This polygon data layer represents 7,400 Milwaukee Police Department reporting districts as accessed September 18, 2026. The source portal states that the dataset is updated as needed. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/milwaukee-police-department-reporting-districts"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Police Department,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077252,-87.859608,43.194866,42.919580)","ENVELOPE(-88.077252,-87.859608,43.194866,42.919580)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsxwdbvk2,https://geodata.uwm.edu/public/gmgsxwdbvk2/Milwaukee_PoliceReportingDistricts_2026.zip,Milwaukee_PoliceReportingDistricts_2026.zip,ark:-77981-gmgsxwdbvk2,ark:/77981/gmgsxwdbvk2,,Aardvark,false,,,City of Milwaukee Police Department,Police reporting districts|Police services|Public safety,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/MPD/MPD_geography/MapServer/0,,
"Master Property File (MPROP) Milwaukee, Wisconsin 2026",,"This tabular dataset contains a property assessment record for each of approximately 160,000 properties in the City of Milwaukee, Wisconsin as of September 18, 2026. More than 90 fields describe property ownership, assessment, address, building, land-use, zoning, and administrative characteristics. The TAXKEY field can be used to join MPROP records to the City of Milwaukee Parcel Polygons dataset. The source portal states that MPROP is updated daily. Information for properties not assessed by the City of Milwaukee, including manufacturing and tax-exempt properties, is limited and not maintained.|Original source: <a href=""https://data.milwaukee.gov/dataset/mprop"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Property|Economy,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgst4b8k6r,https://geodata.uwm.edu/public/gmgst4b8k6r/Milwaukee_MPROP_2026.csv,Milwaukee_MPROP_2026.csv,ark:-77981-gmgst4b8k6r,ark:/77981/gmgst4b8k6r,,Aardvark,false,,"MPROP Milwaukee, Wisconsin 2026",City of Milwaukee Information Technology and Management Division,Property assessment|Real property|Tax parcels|Buildings|Land use,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/562ab824-48a5-42cd-b714-87e205e489ba/resource/3d94613b-a1df-4ed1-86d9-d9205925e2ab/download/mprop_fall_2024.pdf,,,
"Master Address Index (MAI) Milwaukee, Wisconsin 2026",,"This tabular dataset contains 334,297 address records for the City of Milwaukee, Wisconsin as of September 18, 2026. It includes address components, mailing information, ZIP code, land-use code, ward, and residential or commercial designation. TAXKEY can be used to join addresses to the City of Milwaukee Parcel Polygons and Master Property File datasets. The source portal states that MAI is updated daily.|Original source: <a href=""https://data.milwaukee.gov/dataset/mai"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Location|Property,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgspc868tj,https://geodata.uwm.edu/public/gmgspc868tj/Milwaukee_MAI_2026.csv,Milwaukee_MAI_2026.csv,ark:-77981-gmgspc868tj,ark:/77981/gmgspc868tj,,Aardvark,false,,"MAI Milwaukee, Wisconsin 2026",City of Milwaukee Information Technology and Management Division,Addresses|Tax parcels|Land use|Mailing lists,,http://www.opendefinition.org/licenses/cc-by,https://city.milwaukee.gov/ImageLibrary/Public/GIS/MAI.pdf,,,
"Liquor Licenses Milwaukee, Wisconsin 2026",,"This tabular dataset contains 1,288 City of Milwaukee liquor-license records as of September 18, 2026. Fields describe license effective and expiration dates, corporate and trade names, licensees, premises addresses, license types, capacity, aldermanic and police districts, and tax keys. TAXKEY can be used to join licensed premises to the City of Milwaukee Parcel Polygons and Master Property File datasets. The source portal states that the dataset is refreshed nightly. The associated map service contains active licenses only.|Original source: <a href=""https://data.milwaukee.gov/dataset/liquorlicenses"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee City Clerk License Division,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Economy|Society,2025-2027,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070156,-87.866480,43.180362,42.924599)","ENVELOPE(-88.070156,-87.866480,43.180362,42.924599)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsjm640fv,https://geodata.uwm.edu/public/gmgsjm640fv/Milwaukee_LiquorLicenses_2026.csv,Milwaukee_LiquorLicenses_2026.csv,ark:-77981-gmgsjm640fv,ark:/77981/gmgsjm640fv,,Aardvark,false,,,City of Milwaukee City Clerk License Division,Liquor licenses|Alcoholic beverages|Business licenses,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/regulation/license/MapServer/0,,
"Legal Property Descriptions Milwaukee, Wisconsin 2026",,"This tabular dataset contains 159,555 formal legal property descriptions for City of Milwaukee tax keys as of September 18, 2026. RM_TAXKEY corresponds to the parcel tax key and can be used to join the descriptions to the City of Milwaukee Parcel Polygons and Master Property File datasets.|Original source: <a href=""https://data.milwaukee.gov/dataset/legaldescriptions"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Administration,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Property,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsdz08n0c,https://geodata.uwm.edu/public/gmgsdz08n0c/Milwaukee_LegalPropertyDescriptions_2026.csv,Milwaukee_LegalPropertyDescriptions_2026.csv,ark:-77981-gmgsdz08n0c,ark:/77981/gmgsdz08n0c,,Aardvark,false,,,City of Milwaukee Department of Administration,Legal descriptions|Tax parcels|Real property,,http://www.opendefinition.org/licenses/cc-by,,,,
"Tax Delinquent Brownfields Milwaukee, Wisconsin 2026",,"This tabular dataset contains 138 City of Milwaukee properties with unpaid property taxes that the City has chosen not to foreclose upon because initial screening indicates potential environmental contamination, as of September 18, 2026. Fields include tax key, address, zoning, aldermanic district, assessed values, building and lot sizes, and current and past uses. Taxkey can be used to join the records to the City of Milwaukee Parcel Polygons and Master Property File datasets. The source portal states that the dataset is updated quarterly or as needed.|Original source: <a href=""https://data.milwaukee.gov/dataset/environmentaldcd"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of City Development,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Environment|Property|Economy,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs95x6bm4,https://geodata.uwm.edu/public/gmgs95x6bm4/Milwaukee_TaxDelinquentBrownfields_2026.csv,Milwaukee_TaxDelinquentBrownfields_2026.csv,ark:-77981-gmgs95x6bm4,ark:/77981/gmgs95x6bm4,,Aardvark,false,,,City of Milwaukee Department of City Development,Brownfields|Tax delinquency|Environmental contamination|Tax parcels,,http://www.opendefinition.org/licenses/cc-by,,,,
"Vacant Buildings Milwaukee, Wisconsin 2026",,"This tabular dataset contains 1,669 City of Milwaukee properties recorded as vacant in the Department of Neighborhood Services Accela system as of September 18, 2026. Fields include the date opened, full address, land-use code, parcel number, improvement value, aldermanic district, ZIP code, census tract, and neighborhood. PARCELNBR can be used as a tax-key join to the City of Milwaukee Parcel Polygons and Master Property File datasets. The source portal states that data are extracted daily and that newly recorded vacancies may take up to 72 hours to appear.|Original source: <a href=""https://data.milwaukee.gov/dataset/accelavacantbuilding"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Neighborhood Services,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Property|Society|Structure,2002-2027,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs5dv427f,https://geodata.uwm.edu/public/gmgs5dv427f/Milwaukee_VacantBuildings_2026.csv,Milwaukee_VacantBuildings_2026.csv,ark:-77981-gmgs5dv427f,ark:/77981/gmgs5dv427f,,Aardvark,false,,,City of Milwaukee Department of Neighborhood Services,Vacant buildings|Tax parcels|Building registration|Neighborhoods,,http://www.opendefinition.org/licenses/cc-by,,,,
"Medication Drop Boxes and Envelope Locations Milwaukee County, Wisconsin 2025",,"This tabular dataset lists 74 medication drop-box and mail-back-envelope locations in Milwaukee County, Wisconsin. The locations provide secure disposal options for unused, unwanted, or expired medications. Records contain municipality and street address. The source portal identifies February 2025 as the most recent update.|Original source: <a href=""https://data.milwaukee.gov/dataset/drug-drop-off-sites"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Health Department,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Health|Location|Society,2025,2025,2025,Milwaukee County|Wisconsin|United States,,"ENVELOPE(-88.082147,-87.832197,43.199535,42.914384)","ENVELOPE(-88.082147,-87.832197,43.199535,42.914384)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs1ns1rvr,https://geodata.uwm.edu/public/gmgs1ns1rvr/MilwaukeeCounty_MedicationDropOffSites_2025.csv,MilwaukeeCounty_MedicationDropOffSites_2025.csv,ark:-77981-gmgs1ns1rvr,ark:/77981/gmgs1ns1rvr,,Aardvark,false,,,City of Milwaukee Health Department,Medication disposal|Pharmaceutical waste|Public health facilities,,http://www.opendefinition.org/licenses/cc-by,,,,
"Residential and Commercial Permit Work Data Milwaukee, Wisconsin 2026",,"This tabular dataset contains 16,685 City of Milwaukee residential and commercial permit-work records as of September 18, 2026. Fields include date opened, address, record identifier, permit type and status, issue date, construction cost, building use, and effect on dwelling units. The records include permits issued from 2015 through June 15, 2026, with some cases opened earlier. The source portal states that the dataset is updated monthly.|Original source: <a href=""https://data.milwaukee.gov/dataset/buildingpermits"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Neighborhood Services,American Geographical Society Library – UWM Libraries,Datasets,Tabular data,Structure|Economy|Property,2015-2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","ENVELOPE(-88.077255,-87.859595,43.194863,42.919581)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,CSV,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgswwpzk8v,https://geodata.uwm.edu/public/gmgswwpzk8v/Milwaukee_BuildingPermits_2026.csv,Milwaukee_BuildingPermits_2026.csv,ark:-77981-gmgswwpzk8v,ark:/77981/gmgswwpzk8v,,Aardvark,false,,"Building Permits Milwaukee, Wisconsin 2026",City of Milwaukee Department of Neighborhood Services,Building permits|Construction|Residential buildings|Commercial buildings,,http://www.opendefinition.org/licenses/cc-by,,,,
